Couple 1  bkc nqtttdsi
101  2 
338 30
22  9 
468 14
Couple 2  ogybhwwer mljfclj
328  18
257  17
99  2
107  0
22  9
25  0
84  8
87  3
87  3
Couple 3  ansd ifpjbx
68  7 
131 20
97  9 
171 15
94  4 
288 14
40  1 
328 11
Couple 4  ilu wvmlthci
107  0 
382 18
33  5 
279 12
Couple 5  mif afwezo
298  18
22  3
94  6
10  2
72  5
94  6
98  8
74  8
11  3
84  8
31  1
11  3
25  4
94  5
40  1
107  0
24  3
39  3
26  4
11  3
92  9
47  2
101  2
94  4
41  1
45  5
94  4
90  1
81  4
20  0
25  4
46  3
26  4
92  9
10  2
84  8
102  7
22  9
15  6
60  2
94  0
24  3
22  3
22  3
77  6
78  3
78  1
105  0
Couple 6  exzyvrlt taiuinyf
13  2
18  1
22  1
25  7
31  1
39  3
74  8
81  3
85  5
Couple 7  yxxsvluwepc lwksqngp
13  2
18  1
22  1
25  7
31  1
39  3
74  8
81  3
85  5
90  1
92  7
Couple 8  kzdzzglagl levhiggah
298  18
744  18
90  0
108  2
20  0
92  7
26  4
22  1
35  0
25  4
18  1
94  0
31  1
104  9
36  2
100  0
10  2
105  0
72  5
106  9
46  3
45  5
42  9
20  8
101  7
81  3
99  2
101  2
Couple 9  yxgjljstme xzxbhzi
186  24
100  0
94  6
92  9
20  0
94  4
10  2
33  5
42  9
33  5
25  0
97  9
74  8
18  1
97  0
47  2
72  5
108  2
77  6
101  7
18  1
92  7
25  4
74  8
22  3
25  7
22  3
107  0
105  0
30  2
20  8
30  8
100  0
101  2
31  1
84  8
99  2
103  4
24  3
41  4
92  9
Couple 10  zhexfy lqedanx
643  28
279  18
26  4
46  3
104  9
47  2
81  3
101  7
18  1
20  8
30  8
81  4
100  0
108  2
60  2
46  3
99  2
90  1
108  2
72  5
24  3
99  2
11  3
47  2
107  0
15  6
41  4
Couple 11  pdqtvd gpollsx
11  3 
203 25
Couple 12  svwdhhehvfim spgwgr
13  2
18  1
22  1
25  7
31  1
39  3
74  8
81  3
85  5
